# i, j, E_i, E_j
1.000000000000000000e+00 3.500000000000000000e+01 -1.515806228968135110e-04 1.105530179952050949e-05
1.000000000000000000e+00 3.600000000000000000e+01 -1.415132909482461662e-04 1.107903073670877159e-05
1.000000000000000000e+00 3.700000000000000000e+01 -1.306810475077106336e-04 1.171608619913961724e-05
1.000000000000000000e+00 3.800000000000000000e+01 -1.200966337759551075e-04 1.151438086883341846e-05
1.000000000000000000e+00 3.900000000000000000e+01 -1.089977259105161321e-04 1.198672688484512421e-05
1.000000000000000000e+00 4.000000000000000000e+01 -9.822092421045949720e-05 1.163571840021630180e-05
1.000000000000000000e+00 4.100000000000000000e+01 -8.712238732987570295e-05 1.199847063312067347e-05
1.000000000000000000e+00 4.200000000000000000e+01 -7.635800577649549600e-05 1.156754625322615077e-05
1.000000000000000000e+00 4.300000000000000000e+01 -6.540538153771364223e-05 1.187327351637639048e-05
1.000000000000000000e+00 4.400000000000000000e+01 -5.475194477054591997e-05 1.141454347034533541e-05
1.000000000000000000e+00 4.500000000000000000e+01 -4.399752297260022877e-05 1.170410158941018167e-05
1.000000000000000000e+00 4.600000000000000000e+01 -3.346734522445007042e-05 1.124876307006062115e-05
1.000000000000000000e+00 4.700000000000000000e+01 -2.287513387830721379e-05 1.144501948612836135e-05
1.000000000000000000e+00 4.800000000000000000e+01 -1.224741311848687304e-05 1.223848917529031549e-05
1.000000000000000000e+00 4.900000000000000000e+01 -0.000000000000000000e+00 1.396018681511361073e-05
2.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00 -2.348903062842253270e-05
2.000000000000000000e+00 1.000000000000000000e+00 -1.054303298235752594e-05 -2.136183828429784022e-05
2.000000000000000000e+00 2.000000000000000000e+00 -1.937091642943135713e-05 -1.937054169564507195e-05
2.000000000000000000e+00 3.000000000000000000e+00 -2.885339525425994816e-05 -1.970786957376115511e-05
2.000000000000000000e+00 4.000000000000000000e+00 -3.733403402881172914e-05 -1.986976838725974657e-05
2.000000000000000000e+00 5.000000000000000000e+00 -4.732415776411779231e-05 -2.011229295207127228e-05
2.000000000000000000e+00 6.000000000000000000e+00 -5.567458594419182370e-05 -2.030492554924880874e-05
2.000000000000000000e+00 7.000000000000000000e+00 -6.624896862359876235e-05 -2.056425646314637568e-05
2.000000000000000000e+00 8.000000000000000000e+00 -7.449132626042683967e-05 -2.073829566570723946e-05
2.000000000000000000e+00 9.000000000000000000e+00 -8.565188605365429985e-05 -2.094330094915321792e-05
2.000000000000000000e+00 1.000000000000000000e+01 -9.373888519802200882e-05 -2.101379666872846069e-05
2.000000000000000000e+00 1.100000000000000000e+01 -1.054058647916804434e-04 -2.106499557592982920e-05
2.000000000000000000e+00 1.200000000000000000e+01 -1.131971142327458963e-04 -2.092203291497806252e-05
2.000000000000000000e+00 1.300000000000000000e+01 -1.251793158876999515e-04 -2.069921935821345069e-05
2.000000000000000000e+00 1.400000000000000000e+01 -1.324282982996046083e-04 -2.022524744759143290e-05
2.000000000000000000e+00 1.500000000000000000e+01 -1.444072040031550144e-04 -1.960922242171529066e-05
2.000000000000000000e+00 1.600000000000000000e+01 -1.507609272762401673e-04 -1.868985493109337741e-05
2.000000000000000000e+00 1.700000000000000000e+01 -1.622826854411143788e-04 -1.757504071883144413e-05
2.000000000000000000e+00 1.800000000000000000e+01 -1.672920239933136397e-04 -1.613025703893174786e-05
2.000000000000000000e+00 1.900000000000000000e+01 -1.778017992451692343e-04 -1.446766681220348514e-05
2.000000000000000000e+00 2.000000000000000000e+01 -1.809774562818169345e-04 -1.248768624084557939e-05
2.000000000000000000e+00 2.100000000000000000e+01 -1.898768528707209420e-04 -1.030121374551810627e-05
2.000000000000000000e+00 2.200000000000000000e+01 -1.907716991927484651e-04 -7.867051678296459703e-06
2.000000000000000000e+00 2.300000000000000000e+01 -1.975178056167358376e-04 -5.282446541690730569e-06
2.000000000000000000e+00 2.400000000000000000e+01 -1.958127399627190162e-04 -2.552240571229128126e-06
2.000000000000000000e+00 2.500000000000000000e+01 -2.000108286802507532e-04 2.338301024613605519e-07
2.000000000000000000e+00 2.600000000000000000e+01 -1.956028732507907584e-04 3.018944405846986411e-06
2.000000000000000000e+00 2.700000000000000000e+01 -1.970889158683569514e-04 5.752002388436299818e-06
2.000000000000000000e+00 2.800000000000000000e+01 -1.901378167252036882e-04 8.345295864345273276e-06
2.000000000000000000e+00 2.900000000000000000e+01 -1.890097016026750381e-04 1.079481942279191388e-05
2.000000000000000000e+00 3.000000000000000000e+01 -1.799003057028997709e-04 1.299585617406463539e-05
2.000000000000000000e+00 3.100000000000000000e+01 -1.764662632554506291e-04 1.499634014474904038e-05
2.000000000000000000e+00 3.200000000000000000e+01 -1.657393340400106112e-04 1.668064474651473209e-05
2.000000000000000000e+00 3.300000000000000000e+01 -1.604415380833239821e-04 1.815115648090093268e-05
2.000000000000000000e+00 3.400000000000000000e+01 -1.486876490041561026e-04 1.929485001618124352e-05
2.000000000000000000e+00 3.500000000000000000e+01 -1.420096492508397920e-04 2.024792390894648440e-05
2.000000000000000000e+00 3.600000000000000000e+01 -1.297804144606392511e-04 2.089957538910287740e-05
2.000000000000000000e+00 3.700000000000000000e+01 -1.221612332535978041e-04 2.141665717229105867e-05
2.000000000000000000e+00 3.800000000000000000e+01 -1.099006941272529241e-04 2.168332159719450151e-05
2.000000000000000000e+00 3.900000000000000000e+01 -1.016841838853636121e-04 2.187570956549561032e-05
2.000000000000000000e+00 4.000000000000000000e+01 -8.970773113787886422e-05 2.187533858064042911e-05
2.000000000000000000e+00 4.100000000000000000e+01 -8.113263713372549353e-05 2.186291843396400119e-05
2.000000000000000000e+00 4.200000000000000000e+01 -6.962480071151432785e-05 2.171700579216206072e-05
