# i, j, E_i, E_j
1.000000000000000000e+00 3.400000000000000000e+01 5.486771215243699859e-06 9.388416957823933354e-05
1.000000000000000000e+00 3.500000000000000000e+01 6.101866069672861399e-06 8.810456102852845257e-05
1.000000000000000000e+00 3.600000000000000000e+01 6.097083708869398234e-06 8.249436473428559341e-05
1.000000000000000000e+00 3.700000000000000000e+01 6.536905160867611739e-06 7.633625294984545907e-05
1.000000000000000000e+00 3.800000000000000000e+01 6.442902704149071271e-06 7.036144220337720002e-05
1.000000000000000000e+00 3.900000000000000000e+01 6.736687189943286623e-06 6.408967468698489910e-05
1.000000000000000000e+00 4.000000000000000000e+01 6.686548804446470920e-06 5.779256654803323058e-05
1.000000000000000000e+00 4.100000000000000000e+01 6.843306488738680503e-06 5.143989792962736071e-05
1.000000000000000000e+00 4.200000000000000000e+01 6.641415509799394851e-06 4.516027315682800253e-05
1.000000000000000000e+00 4.300000000000000000e+01 6.879161033968721645e-06 3.880979999462099079e-05
1.000000000000000000e+00 4.400000000000000000e+01 6.714599044028922336e-06 3.248610044680419495e-05
1.000000000000000000e+00 4.500000000000000000e+01 6.892297632650666936e-06 2.614091313473357488e-05
1.000000000000000000e+00 4.600000000000000000e+01 6.638181992714164958e-06 1.990354107800563810e-05
1.000000000000000000e+00 4.700000000000000000e+01 6.749900851631531005e-06 1.362827232353788467e-05
1.000000000000000000e+00 4.800000000000000000e+01 7.276407134287027443e-06 7.278126134688498842e-06
1.000000000000000000e+00 4.900000000000000000e+01 8.286923850244023551e-06 0.000000000000000000e+00
2.000000000000000000e+00 0.000000000000000000e+00 -1.394460301853168175e-05 0.000000000000000000e+00
2.000000000000000000e+00 1.000000000000000000e+00 -1.286478289318621230e-05 6.406975053883400998e-06
2.000000000000000000e+00 2.000000000000000000e+00 -1.166547743598000012e-05 1.173860331993118272e-05
2.000000000000000000e+00 3.000000000000000000e+00 -1.183033155740291331e-05 1.732219523003716505e-05
2.000000000000000000e+00 4.000000000000000000e+00 -1.203143910003326433e-05 2.237255205899013095e-05
